tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height,final_vtu,n_bubbles,status
022,/home/fiorello/init_files_grid/022.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/022,intermediate,1,1,2.8181818181818183,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/022/surf_20.0.vtu,0,ok
023,/home/fiorello/init_files_grid/023.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/023,intermediate,1,1,2.8181818181818183,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/023/surf_20.0.vtu,0,ok
024,/home/fiorello/init_files_grid/024.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/024,intermediate,1,1,3.090909090909091,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/024/surf_20.0.vtu,0,ok
025,/home/fiorello/init_files_grid/025.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/025,intermediate,1,1,3.090909090909091,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/025/surf_20.0.vtu,0,ok
026,/home/fiorello/init_files_grid/026.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/026,intermediate,1,1,3.090909090909091,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/026/surf_20.0.vtu,0,ok
027,/home/fiorello/init_files_grid/027.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/027,intermediate,1,1,3.090909090909091,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/027/surf_20.0.vtu,0,ok
028,/home/fiorello/init_files_grid/028.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/028,intermediate,1,1,3.090909090909091,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/028/surf_20.0.vtu,0,ok
029,/home/fiorello/init_files_grid/029.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/029,intermediate,1,1,3.090909090909091,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/029/surf_20.0.vtu,0,ok
030,/home/fiorello/init_files_grid/030.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/030,intermediate,1,1,3.3636363636363633,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/030/surf_20.0.vtu,0,ok
031,/home/fiorello/init_files_grid/031.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/031,intermediate,1,1,3.3636363636363633,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/031/surf_20.0.vtu,0,ok
032,/home/fiorello/init_files_grid/032.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/032,intermediate,1,1,3.3636363636363633,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/032/surf_20.0.vtu,0,ok
033,/home/fiorello/init_files_grid/033.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/033,intermediate,1,1,3.3636363636363633,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/033/surf_20.0.vtu,0,ok
034,/home/fiorello/init_files_grid/034.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/034,intermediate,1,1,3.3636363636363633,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/034/surf_20.0.vtu,0,ok
035,/home/fiorello/init_files_grid/035.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/035,intermediate,1,1,3.3636363636363633,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/035/surf_20.0.vtu,0,ok
036,/home/fiorello/init_files_grid/036.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/036,intermediate,1,1,3.6363636363636362,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/036/surf_20.0.vtu,0,ok
037,/home/fiorello/init_files_grid/037.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/037,intermediate,1,1,3.6363636363636362,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/037/surf_20.0.vtu,0,ok
038,/home/fiorello/init_files_grid/038.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/038,intermediate,1,1,3.6363636363636362,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/038/surf_20.0.vtu,0,ok
039,/home/fiorello/init_files_grid/039.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/039,intermediate,1,1,3.6363636363636362,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/039/surf_20.0.vtu,0,ok
040,/home/fiorello/init_files_grid/040.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/040,intermediate,1,1,3.6363636363636362,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/040/surf_20.0.vtu,0,ok
041,/home/fiorello/init_files_grid/041.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/041,intermediate,1,1,3.6363636363636362,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/041/surf_20.0.vtu,0,ok
