tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height
036,/home/fiorello/init_files_grid/036.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/036,intermediate,1,1,3.6363636363636362,8.0,0.1045,0.6459999999999999
037,/home/fiorello/init_files_grid/037.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/037,intermediate,1,1,3.6363636363636362,9.0,0.1045,0.7505
038,/home/fiorello/init_files_grid/038.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/038,intermediate,1,1,3.6363636363636362,10.0,0.1045,0.855
039,/home/fiorello/init_files_grid/039.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/039,intermediate,1,1,3.6363636363636362,11.0,0.1045,0.9595
040,/home/fiorello/init_files_grid/040.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/040,intermediate,1,1,3.6363636363636362,12.0,0.1045,1.064
041,/home/fiorello/init_files_grid/041.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/041,intermediate,1,1,3.6363636363636362,13.0,0.1045,1.1685
042,/home/fiorello/init_files_grid/042.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/042,intermediate,1,1,3.909090909090909,8.0,0.1045,0.6459999999999999
043,/home/fiorello/init_files_grid/043.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/043,intermediate,1,1,3.909090909090909,9.0,0.1045,0.7505
044,/home/fiorello/init_files_grid/044.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/044,intermediate,1,1,3.909090909090909,10.0,0.1045,0.855
045,/home/fiorello/init_files_grid/045.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/045,intermediate,1,1,3.909090909090909,11.0,0.1045,0.9595
046,/home/fiorello/init_files_grid/046.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/046,intermediate,1,1,3.909090909090909,12.0,0.1045,1.064
047,/home/fiorello/init_files_grid/047.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/047,intermediate,1,1,3.909090909090909,13.0,0.1045,1.1685
048,/home/fiorello/init_files_grid/048.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/048,intermediate,1,1,4.181818181818182,8.0,0.1045,0.6459999999999999
049,/home/fiorello/init_files_grid/049.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/049,intermediate,1,1,4.181818181818182,9.0,0.1045,0.7505
050,/home/fiorello/init_files_grid/050.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/050,intermediate,1,1,4.181818181818182,10.0,0.1045,0.855
051,/home/fiorello/init_files_grid/051.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/051,intermediate,1,1,4.181818181818182,11.0,0.1045,0.9595
052,/home/fiorello/init_files_grid/052.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/052,intermediate,1,1,4.181818181818182,12.0,0.1045,1.064
053,/home/fiorello/init_files_grid/053.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/053,intermediate,1,1,4.181818181818182,13.0,0.1045,1.1685
054,/home/fiorello/init_files_grid/054.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/054,intermediate,1,1,4.454545454545454,8.0,0.1045,0.6459999999999999
055,/home/fiorello/init_files_grid/055.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/055,intermediate,1,1,4.454545454545454,9.0,0.1045,0.7505
056,/home/fiorello/init_files_grid/056.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/056,intermediate,1,1,4.454545454545454,10.0,0.1045,0.855
057,/home/fiorello/init_files_grid/057.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/057,intermediate,1,1,4.454545454545454,11.0,0.1045,0.9595
058,/home/fiorello/init_files_grid/058.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/058,intermediate,1,1,4.454545454545454,12.0,0.1045,1.064
059,/home/fiorello/init_files_grid/059.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/059,intermediate,1,1,4.454545454545454,13.0,0.1045,1.1685
060,/home/fiorello/init_files_grid/060.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/060,intermediate,1,1,4.727272727272727,8.0,0.1045,0.6459999999999999
061,/home/fiorello/init_files_grid/061.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/061,intermediate,1,1,4.727272727272727,9.0,0.1045,0.7505
062,/home/fiorello/init_files_grid/062.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/062,intermediate,1,1,4.727272727272727,10.0,0.1045,0.855
063,/home/fiorello/init_files_grid/063.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/063,intermediate,1,1,4.727272727272727,11.0,0.1045,0.9595
064,/home/fiorello/init_files_grid/064.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/064,intermediate,1,1,4.727272727272727,12.0,0.1045,1.064
