Time,"phi","Points:0","Points:1","Points:2"
0,0.5,-0.0021841081,-0.0099966079,0
0,0.5,-0.00390625,-0.0099952919,0
0,0.5,-0.0056336829,-0.0099913171,0
0,0.5,0,-0.0099982722,0
0,0.5,-0.0078125,-0.0099863065,0
0,0.5,-0.0099780327,-0.0099780327,0
0,0.5,0.0078125,-0.0099863065,0
0,0.5,0.0056336829,-0.0099913171,0
0,0.5,0.0099780327,-0.0099780327,0
0,0.5,0.0021841081,-0.0099966079,0
0,0.5,0.00390625,-0.0099952919,0
0,0.5,0.12890625,-0.006889509,0
0,0.5,0.12578177,-0.007030719,0
0,0.5,0.13175842,-0.0067584282,0
0,0.5,0.125,-0.0070658573,0
0,0.5,0.19111235,-0.0036123584,0
0,0.5,0.1875,-0.0038256296,0
0,0.5,0.22058837,-0.0018383772,0
0,0.5,0.21875,-0.0019509196,0
0,0.5,0.23530324,-0.00092823757,0
0,0.5,0.234375,-0.00098515919,0
0,0.5,0.24265403,-0.00046651834,0
0,0.5,0.2421875,-0.00049504306,0
0,0.5,0.25,0,0
0,0.5,0.24609375,-0.00024866822,0
0,0.5,0.2416593,-0.00052819448,0
0,0.5,0.23828125,-0.00074163824,0
0,0.5,0.22794797,-0.0013854631,0
0,0.5,0.2265625,-0.0014704583,0
0,0.5,0.23332457,-0.0010504245,0
0,0.5,0.23046875,-0.001229113,0
0,0.5,0.22499564,-0.0015668516,0
0,0.5,0.22265625,-0.0017114633,0
0,0.5,0.20585752,-0.002732517,0
0,0.5,0.203125,-0.0028970351,0
0,0.5,0.21322469,-0.0022871927,0
0,0.5,0.2109375,-0.0024262457,0
0,0.5,0.21667215,-0.0020778414,0
0,0.5,0.21484375,-0.0021893505,0
0,0.5,0.20835447,-0.0025830225,0
0,0.5,0.20703125,-0.0026628848,0
0,0.5,0.19848672,-0.0031742223,0
0,0.5,0.1953125,-0.0033634889,0
0,0.5,0.20004253,-0.0030824675,0
0,0.5,0.19921875,-0.0031317,0
0,0.5,0.19173634,-0.0035761576,0
0,0.5,0.19140625,-0.0035956868,0
0,0.5,0.16015625,-0.0053533185,0
0,0.5,0.15862946,-0.0054330346,0
0,0.5,0.16153087,-0.0052808682,0
0,0.5,0.15625,-0.0055579753,0
0,0.5,0.17578125,-0.0045009335,0
0,0.5,0.17515148,-0.0045360136,0
0,0.5,0.1763449,-0.0044698981,0
0,0.5,0.171875,-0.0047199484,0
0,0.5,0.18343678,-0.0040632216,0
0,0.5,0.1796875,-0.0042798971,0
0,0.5,0.16688241,-0.0049925898,0
0,0.5,0.1640625,-0.0051459237,0
0,0.5,0.16894385,-0.004881354,0
0,0.5,0.16796875,-0.0049339724,0
0,0.5,0.14453125,-0.0061500799,0
0,0.5,0.1421721,-0.006265399,0
0,0.5,0.14666888,-0.0060438877,0
0,0.5,0.140625,-0.0063407486,0
0,0.5,0.15039259,-0.0058574118,0
0,0.5,0.1484375,-0.0059562675,0
0,0.5,0.1339684,-0.0066566048,0
0,0.5,0.1328125,-0.006710764,0
0,0.5,0.13921988,-0.0064073862,0
0,0.5,0.13671875,-0.0065270457,0
0,0.5,0.15410593,-0.0056684366,0
0,0.5,0.15234375,-0.0057588345,0
0,0.5,0.18612355,-0.00390625,0
0,0.5,0.18373385,-0.0040463558,0
0,0.5,0.18359375,-0.0040542027,0
0,0.5,0.0703125,-0.0090444218,0
0,0.5,0.069047734,-0.0090772649,0
0,0.5,0.071511909,-0.0090119131,0
0,0.5,0.063895792,-0.0092082899,0
0,0.5,0.0625,-0.0092423549,0
0,0.5,0.06640625,-0.0091463868,0
0,0.5,0.1015625,-0.0080346912,0
0,0.5,0.10133178,-0.0080432212,0
