time,amplitude,energy
9.100000000000000000e+01,1.413941039585253634e-05,3.487981556999792510e+00
9.200000000000000000e+01,1.334427811361393879e-05,3.487981554785401173e+00
9.300000000000000000e+01,1.260352863630131992e-05,3.487981552653454109e+00
9.400000000000000000e+01,1.191327720245771715e-05,3.487981550598489910e+00
9.500000000000000000e+01,1.126992027955520115e-05,3.487981548615569860e+00
9.600000000000000000e+01,1.067011512173587917e-05,3.487981546700235747e+00
9.700000000000000000e+01,1.011076081547379601e-05,3.487981544848449023e+00
9.800000000000000000e+01,9.588980707908589807e-06,3.487981543056533074e+00
9.900000000000000000e+01,9.102106108160867848e-06,3.487981541321177659e+00
1.000000000000000000e+02,8.647661171978793249e-06,3.487981539639313677e+00
